703.7939366,-16.00466924
703.7939366,-16.12684229
603.2519456,-16.24901534
603.2519456,-16.37118838
603.2519456,-16.49336143
603.2519456,-16.61553448
603.2519456,-16.73770753
603.2519456,-16.85988057
603.2519456,-16.98205362
603.2519456,-17.10422667
502.7099547,-17.22639972
502.7099547,-17.34857276
502.7099547,-17.47074581
502.7099547,-17.59291886
502.7099547,-17.71509191
502.7099547,-17.83726496
502.7099547,-17.959438
502.7099547,-18.08161105
502.7099547,-18.2037841
502.7099547,-18.32595715
402.1679638,-18.46558349
402.1679638,-18.58775653
402.1679638,-18.70992958
402.1679638,-18.83210263
402.1679638,-18.95427568
402.1679638,-19.07644872
402.1679638,-19.19862177
402.1679638,-19.32079482
402.1679638,-19.44296787
402.1679638,-19.56514091
402.1679638,-19.68731396
402.1679638,-19.80948701
301.6259728,-19.93166006
301.6259728,-20.05383311
301.6259728,-20.17600615
301.6259728,-20.2981792
301.6259728,-20.42035225
301.6259728,-20.5425253
301.6259728,-20.66469834
301.6259728,-20.78687139
301.6259728,-20.90904444
301.6259728,-21.03121749
301.6259728,-21.15339053
301.6259728,-21.27556358
301.6259728,-21.39773663
301.6259728,-21.53736297
301.6259728,-21.65953602
301.6259728,-21.78170906
201.0839819,-21.90388211
201.0839819,-22.02605516
201.0839819,-22.14822821
201.0839819,-22.27040126
201.0839819,-22.3925743
201.0839819,-22.51474735
201.0839819,-22.6369204
201.0839819,-22.75909345
201.0839819,-22.88126649
201.0839819,-23.00343954
201.0839819,-23.12561259
201.0839819,-23.24778564
201.0839819,-23.36995868
201.0839819,-23.49213173
201.0839819,-23.61430478
201.0839819,-23.73647783
201.0839819,-23.85865087
201.0839819,-23.98082392
201.0839819,-24.10299697
201.0839819,-24.22517002
201.0839819,-24.36479636
201.0839819,-24.48696941
201.0839819,-24.60914245
201.0839819,-24.7313155
201.0839819,-24.85348855
100.5419909,-24.9756616
100.5419909,-25.09783464
100.5419909,-25.22000769
100.5419909,-25.34218074
100.5419909,-25.46435379
100.5419909,-25.58652683
100.5419909,-25.70869988
100.5419909,-25.83087293
100.5419909,-25.95304598
100.5419909,-26.07521902
100.5419909,-26.19739207
100.5419909,-26.31956512
100.5419909,-26.44173817
100.5419909,-26.56391122
100.5419909,-26.68608426
100.5419909,-26.80825731
100.5419909,-26.93043036
100.5419909,-27.0700567
100.5419909,-27.19222975
100.5419909,-27.31440279
